feature,p_value,cohens_d,d_ci_lo,d_ci_hi,mean_human,mean_ai,p_fdr,sig_fdr
case_Gen,3.272894796002837e-11,0.16928690104855773,0.1088508353559196,0.22958282062664437,0.24348136413235513,0.23443158480319148,1.4114358807762234e-10,True
pos_NUM,8.243102202724194e-11,0.1725758541190721,0.11383839564817591,0.2365011057372798,0.012704215030582439,0.01104498922683928,3.3457297175762905e-10,True
gender_Masc,3.4109937155507374e-09,0.15446658474965508,0.09362577171710322,0.2122274531935096,0.5654847113998444,0.5544724515820979,1.3075475909611161e-08,True
pos_SCONJ,3.6659695048331296e-09,-0.1564542254828552,-0.2167557403956412,-0.09395511620572776,0.023701610081196273,0.025204122494706244,1.3313257675446628e-08,True
dep_rel_mark,2.71950801837537e-08,-0.15006154384382503,-0.21026913097688202,-0.08906004514461802,0.02687036138774364,0.028405131672709975,9.382302663395025e-08,True
gender_Neut,8.434372859257267e-08,-0.12442237015722973,-0.18261551302090206,-0.0643611069071819,0.20124448578906326,0.20844710108492454,2.7712939394702446e-07,True
dep_rel_acl,4.484389216814915e-07,0.1453247463172947,0.0858024757219703,0.20724494516854433,0.013497021401706366,0.012562694495800013,1.4064675270919508e-06,True
dep_rel_obl,5.260806786695491e-07,0.13872741361894972,0.07686945771099159,0.19928977920440577,0.09262976839846358,0.09053691851131455,1.5782420360086474e-06,True
case_Acc,5.918308244109783e-06,-0.11713563785496928,-0.17965834246136128,-0.056658976863550196,0.4028105023166456,0.41024351403948944,1.7015136201815626e-05,True
dep_rel_advmod,0.00020554086151943103,-0.09767823005030005,-0.1604934338239163,-0.03524812851702555,0.08215477974266495,0.0842360230043561,0.0005672927777936297,True
pos_PRON,0.0002346657531383077,0.08342470766618175,0.02344768417772126,0.14560808710490286,0.1105717015670506,0.10832485979517555,0.0006227668064055088,True
avg_word_length,0.0007168621665186256,-0.07651672755192938,-0.14123964843350853,-0.012797075538057817,5.21194237676336,5.227533978326824,0.0018319810922142652,True
case_Voc,0.0013089433579343834,0.0689107865027563,0.007093424658932954,0.13415560039376628,0.012400361172817589,0.011531879910285798,0.0032256104177668735,True
case_entropy,0.0014076473632482459,0.07370859679161808,0.011185261550610448,0.1403001110152224,1.9199171549539342,1.9126192207755786,0.0032375889354709655,True
case_Nom,0.001383453472800679,-0.07590819889279873,-0.1363782173171883,-0.015223492427773844,0.19782992512722472,0.20212941767366974,0.0032375889354709655,True
dep_rel_conj,0.0015587115118491145,0.08032077512199233,0.02014393271436482,0.14021577642130237,0.0616883591362713,0.06032810162838976,0.0034693901392770614,True
