WE1,WE2,WE3,WE4,WE5,WE6,WE7,WE8,WE9,WE10,WE11,WE12,WE13,WE14,WE15,WE16,WE17,WE18,WE19,WE20,WE21,WE22,WE23,WE24,WE25,WE26,WE27,WE28,WE29,WE30,WE31,WE32,WE33,WE34,WE35,WE36,WE37,WE38,WE39,WE40,WE41,WE42,WE43,WE44,WE45,WE46,WE47,WE48,WE49,WE50,Category1,Category2,Category3,Category4,doc_id,chunk_id,chunk_index,model_version,text_file
0.54843885,0.3708546,0.3558098,-1.7140577,1.2699273,-0.72772586,0.42720664,0.19099161,-0.50461465,-0.8260816,-0.035202373,-0.7996717,0.25271285,0.10121206,0.21816401,1.003385,0.13826646,-0.26111767,-0.0850016,1.1714852,-0.7912259,0.4232728,0.3055035,0.88628566,0.26232475,-0.07288814,-0.061986435,0.050789583,0.31359124,0.111178815,0.26798958,0.09411678,0.42261198,-0.11574088,0.5495147,0.55811733,0.2780056,0.44707537,0.26097256,-0.12885526,-0.47375444,0.024354035,-0.61357254,-0.09673752,0.030310258,-0.22459239,-0.14269656,0.12314701,-0.3094965,0.3415152,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c020,20,human,Human_Aeschines_0026001__c020.txt
-0.14967528,0.10970155,0.04110814,-0.8219976,0.5928596,-0.4867636,0.8575923,1.3109784,0.37288103,-0.8504413,0.011283619,-1.0300721,0.7408796,0.7276928,-0.010819058,1.1452919,0.28393194,0.43760547,0.24839365,0.3274156,-0.42319945,0.25280702,0.072628886,-0.35995293,0.20137322,0.20955665,0.0048372378,0.25456607,0.53207856,-0.43856955,0.42802775,0.113210894,-0.33745053,-0.05373988,0.6588914,0.22622652,-0.29682606,0.15199935,0.17793176,0.19581579,0.14373296,-0.30965164,-0.07435687,-0.26276088,0.20914975,-0.28811792,0.005328339,-0.45744905,0.3047381,0.15926573,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c021,21,human,Human_Aeschines_0026001__c021.txt
-0.049667053,0.20587297,-0.17677522,-1.726501,-0.6253655,-0.06686555,0.98257476,0.54215276,-0.22493266,-0.579775,-0.18072957,-0.5034694,-0.36862224,0.33514807,0.04524619,0.3855928,-0.6607676,-0.006815878,0.09888782,-0.53440595,-0.7932144,-0.48629773,0.09627875,0.10315256,0.024164189,-0.34921232,-1.0235662,-0.042289574,-0.06873281,-0.327051,0.49401647,0.29523012,0.6238697,0.04217102,-0.44423208,-0.14070156,0.05395521,0.30233407,0.15703525,-0.016488947,-0.27473584,0.23164435,-0.3602887,-0.26695365,0.38619587,-0.3782453,0.38843063,0.45585325,-0.14901453,0.10021258,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c022,22,human,Human_Aeschines_0026001__c022.txt
-0.71711123,0.9062692,0.045906655,-0.45415556,0.57454616,-0.5765948,-0.4846238,0.09583264,0.25406644,-1.204827,0.39980078,-1.3472862,-0.063756414,0.13862863,1.082396,0.8516845,-0.0151074985,0.3121827,0.5354023,-0.41571385,-0.13148426,-0.15342724,-0.2917246,-0.13597654,0.33300593,-0.4754847,0.11120314,0.5277519,-0.07687856,0.066111766,0.49734557,-0.09994813,-0.032806475,0.16947713,-0.03381395,0.107005335,-0.4174624,0.14355855,0.07534714,0.152853,0.32077459,0.09930745,0.16716307,-0.28122947,0.040046725,-0.04153018,0.21162224,-0.2032953,-0.29736882,-0.49066254,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c023,23,human,Human_Aeschines_0026001__c023.txt
0.24736555,0.3741142,-0.08377241,-0.82927984,1.2623895,-0.4031993,0.45798695,0.20971774,0.11303568,-0.6731144,0.114969276,-0.9772547,-0.3243734,-0.17134985,0.9402062,1.1909,-0.24675564,-0.15898915,0.18967433,-0.24081433,-0.6333573,-0.1380528,-0.20209233,-0.10568848,0.45770007,-0.2642852,-0.30692092,-0.13480727,-0.27848426,-0.41592142,0.7780525,0.40068278,0.27263013,-0.013769568,0.1638478,0.2392601,-0.37152278,-0.036524996,-0.13268593,-0.08661085,0.043162167,0.32775268,0.062699795,-0.3749937,0.03267113,0.10996187,0.25051126,-0.16217412,-0.28926086,-0.15142265,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c024,24,human,Human_Aeschines_0026001__c024.txt
-0.18712504,0.5801802,0.17373686,-0.8596886,1.1998659,-0.54381275,0.21308401,0.86188877,-0.68821704,-0.8422584,-0.44967824,-0.9590016,0.5226987,-0.006345977,-0.07907948,0.20837368,-0.8101034,0.8009825,0.47628558,-0.42620274,-0.43168563,0.25030705,0.3698605,-0.19154678,-0.21493985,0.48682603,0.21576859,-0.08313396,0.5147065,0.55606186,-0.026332844,0.20811352,0.5269601,-0.17823637,0.17335814,-0.13666448,0.15438174,-0.2470899,0.03273215,-0.03837005,0.30375805,0.20563117,-0.051062554,-0.14736336,0.44597256,0.2785219,0.18930846,-0.07077975,0.16553822,0.11401019,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c025,25,human,Human_Aeschines_0026001__c025.txt
1.3692635,-0.81727767,-0.048329785,-0.5123109,0.67195886,-0.6041401,0.7961485,-0.039038118,0.43927094,-0.42149535,0.3995265,-0.20673092,-0.11475523,-0.026370075,-0.42193723,0.13854674,-0.352362,-0.19464228,0.8172824,0.5623553,-0.23003307,0.35380974,0.010761815,0.4006747,-0.2261748,-0.29037648,0.18846318,-0.4564421,-0.12542982,-0.13790287,0.41893065,-0.20716724,0.10614159,-0.47634462,0.2538733,-0.0473951,-0.006387733,-0.13946444,0.3587555,0.23142649,-0.04331905,-0.0039769714,0.2700997,-0.10908896,0.38854927,-0.25926226,0.15413213,-0.13414688,-0.15205027,-0.11865196,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c026,26,human,Human_Aeschines_0026001__c026.txt
-0.016235678,0.51918083,-0.0143738175,-0.75854254,0.6482104,-1.832625,0.21059948,-0.07924168,0.333397,-0.16973574,0.30243686,-0.5298921,0.6504013,0.40468788,-0.44921342,0.012025547,-0.7128289,-0.028752908,0.59019125,0.63851446,-0.28878263,0.18106528,-0.11165795,0.116931945,0.4501231,-0.46260494,-0.22707887,-0.16812009,0.35832992,0.2208972,0.33615738,0.0066076783,0.25542772,-0.6437527,-0.22986123,0.021158395,-0.021968072,-0.035884146,0.46053776,-0.2895589,0.43490377,-0.11646844,-0.525275,-0.10615117,-0.3568214,-0.2035226,0.23913193,0.30011773,0.17988624,-0.354052,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c027,27,human,Human_Aeschines_0026001__c027.txt
0.0788422,-0.31899557,-0.93034667,0.20824137,-0.34582478,-0.8644407,0.8295854,0.40445632,0.28473914,-0.7628341,0.15589653,-0.82019776,-0.3655882,0.3324127,0.4164053,-0.0903084,-0.46763477,0.013469381,0.5087018,0.4606609,-0.04229153,-0.28411028,-0.42402056,0.34445527,-0.32980633,0.25460252,-0.18551372,-0.36247692,-0.40748948,-0.33067656,-0.42312726,0.5083321,0.15890726,-0.2736012,-0.0639312,-0.22469923,-0.1048366,-0.35725597,0.2571618,-0.14761497,0.21134318,-0.01900768,-0.19566031,-0.16339019,-0.18170942,-0.3959238,0.5167502,-0.031991288,0.02374276,0.083663896,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c028,28,human,Human_Aeschines_0026001__c028.txt
-0.97953767,0.3167302,-0.040311318,-0.05117328,0.9055264,-0.48298943,0.17473328,0.28388965,0.06620391,-0.6501608,-0.2979312,-0.5700872,0.17643514,0.037439033,-0.039084036,0.2575463,-0.23271117,0.06593024,-0.1380699,0.24033351,-0.32122007,0.12150552,0.31564438,-0.40800983,-0.23085983,-0.81440806,0.14635596,0.07715041,-0.1607985,-0.15153281,0.095023915,0.107214116,0.16452132,0.16600215,-0.1890937,0.5643828,0.41811877,0.02705311,-0.3138855,-0.32139117,0.40196857,-0.14666359,0.27906597,0.21208777,-0.15769629,0.16608277,0.29474792,0.32906973,0.076958,0.13597794,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c029,29,human,Human_Aeschines_0026001__c029.txt
-0.525794,-0.076865636,-1.5646735,-0.20315704,1.4091012,0.129806,-0.2879226,0.5448968,-0.14502984,-0.33891886,0.2690621,-0.53488004,-0.033879206,0.37161237,0.1022144,0.2423017,-0.23418882,-0.16630404,0.3084664,0.47527462,-0.09219191,0.03483512,-0.46745446,0.2838837,0.5380853,0.38787052,-0.083588056,0.23805241,-0.45011362,-0.0050484682,0.15048394,0.43650052,-0.36521497,-0.88773626,0.4165836,0.2281015,0.15377045,-0.19259658,0.08703356,0.07355049,-0.04151366,-0.096386485,-0.21062051,-0.16434354,-0.3003978,0.016881447,0.55948836,0.40698317,-0.16416295,-0.20233552,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c030,30,human,Human_Aeschines_0026001__c030.txt
-0.2623076,-0.91222966,-1.3316305,-0.05898741,0.7203892,0.32321858,0.6371538,0.5526197,-0.11053474,-0.66342866,-0.26828387,-0.44126388,-0.037915647,0.9062854,-0.06750533,-0.6389862,0.16361104,-0.5145931,0.31468272,0.1946388,-0.096411034,-0.06039615,0.1880055,0.17268516,-0.038662963,0.25028095,0.568931,-0.54878986,-0.24313347,0.3684315,0.044215195,0.31600457,0.013034562,-0.2187714,0.16865976,0.11640413,-0.08878995,-0.33484355,-0.08066419,-0.24181594,-0.026681399,-0.042617466,-0.1878848,-0.106574826,-0.022380782,0.120706305,0.0743994,0.20591284,-0.1556392,-0.071622536,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c031,31,human,Human_Aeschines_0026001__c031.txt
0.3689883,-0.08316855,-0.7074678,-0.66521776,-0.7396575,-0.80144495,-0.5069192,1.0056559,0.24983963,-0.42058742,0.30961218,-0.049788058,0.13020517,0.60459775,0.60921067,0.520226,-0.45965812,0.071656965,0.06127461,0.01318618,0.15124568,0.3333353,0.20275727,0.46931314,-0.01730455,-0.6289107,0.17201191,-0.575403,0.04971998,0.13161673,-0.1057312,-0.26743853,0.23627564,-0.35453278,0.027860787,-0.38073304,0.26094183,-0.2677742,-0.1322168,0.094566144,-0.1905616,-0.27305084,-0.041711167,0.18278868,0.19879408,0.17510669,0.20273378,0.0024820257,-0.21004234,-0.109194845,Human,Aeschines,Human,Human,Human_Aeschines_0026002,Human_Aeschines_0026002__c000,0,human,Human_Aeschines_0026002__c000.txt
